date,gz_spread,ebp,est_prob
SEP2015,2.6443,0.4425,0.3907313412
OCT2015,2.4239,0.3334,0.3404558297
NOV2015,2.4726,0.4150,0.3778560834
DEC2015,2.6838,0.5846,0.4589385771
JAN2016,3.0716,0.8056,0.566687745
FEB2016,3.0834,0.8372,0.5819141185
MAR2016,2.6716,0.4880,0.4123149341
APR2016,2.3969,0.1496,0.2621865375
MAY2016,2.3605,0.1519,0.2631061164
JUN2016,2.4549,-0.0666,0.1835706033
JUL2016,2.2645,-0.1190,0.1670007563
AUG2016,2.0617,-0.1005,0.1727503741
SEP2016,2.0464,-0.1749,0.1504120812
OCT2016,1.8778,-0.1476,0.1583687619
NOV2016,1.7926,-0.8915,0.0278376558
DEC2016,1.6649,-0.3040,0.1164422533
JAN2017,1.6265,-0.2571,0.1280871007
FEB2017,1.5763,-0.2646,0.1261789124
MAR2017,1.6153,-0.2505,0.1297833788
APR2017,1.6005,-0.1936,0.145129737
MAY2017,1.5692,-0.2468,0.1307638247
JUN2017,1.5432,-0.2063,0.1415933066
JUL2017,1.4897,-0.2260,0.1362505143
AUG2017,1.6057,-0.1608,0.1544828457
SEP2017,1.4856,-0.3575,0.1040912481
OCT2017,1.4192,-0.2977,0.1179555211
NOV2017,1.4295,-0.2202,0.137803523
DEC2017,1.3932,-0.2926,0.1191935949
JAN2018,1.2592,-0.5049,0.0750176511
FEB2018,1.3540,-0.3301,0.1102921657
MAR2018,1.5162,-0.1925,0.1454346816
APR2018,1.4311,-0.3898,0.0971111282
MAY2018,1.5189,-0.3008,0.1171992474
JUN2018,1.6040,-0.0710,0.1821624772
JUL2018,1.4685,-0.2281,0.1356982416
AUG2018,1.5087,-0.1920,0.1455615314
SEP2018,1.4153,-0.2789,0.1225820568
OCT2018,1.5716,-0.0711,0.1821290334
NOV2018,1.7744,0.0660,0.229919015
DEC2018,2.0591,0.2701,0.3124960752
JAN2019,1.8167,0.1202,0.2505821452
FEB2019,1.6253,0.0067,0.208407432
MAR2019,1.6597,-0.2218,0.1373740795
APR2019,1.5539,-0.0734,0.1813712253
MAY2019,1.7960,-0.1117,0.1692569611
JUN2019,1.6671,-0.0708,0.1822133407
JUL2019,1.6088,-0.1202,0.1666228493
AUG2019,1.7829,-0.2856,0.1209153499
SEP2019,1.6971,-0.3641,0.1026274434
OCT2019,1.6779,-0.3494,0.1058953584
NOV2019,1.6012,-0.2999,0.1174241669
DEC2019,1.4568,-0.3788,0.0994320976
JAN2020,1.6342,-0.3884,0.0974043611
FEB2020,1.9532,-0.3234,0.1118418848
MAR2020,3.8240,1.0546,0.6820596438
APR2020,2.8908,0.5594,0.4467180797
MAY2020,2.5315,0.3450,0.345702456
JUN2020,2.3243,-0.0328,0.1947860096
JUL2020,2.2063,0.0541,0.2254998852
